"#","Reel","Match","V","C","Dur","Source In","Source Out","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"98","","","V1","C","12","00:00:45:04","00:00:45:15","01:01:33:16","01:01:34:14","1935-Passenger Ship - 1930-1959 ~ Stock Footage #77860668","","00:00:00:00","00:01:50:02","00:01:50:02","H.264","25.000","720x540","Green","","",""
"M2","","","","","12.0","00:00:45:04","","","","","","","","","","","","","","",""
"99","","","V1","C","","00:00:56:10","00:00:57:05","01:01:34:14","01:01:35:09","Gaumont Pathé Archives - 3522EJ 24323 - NORMANDIE AU HAVRE. NORMANDIE","","00:00:00:00","00:01:42:11","00:01:42:11","H.264","25.000","640x480","","","",""
"100","","","V1","C","18","00:00:39:14","00:00:40:06","01:01:35:09","01:01:36:07","TRANSPORT- Normandie liner maiden voyage ~ Footage #109955518","","00:00:00:00","00:01:15:15","00:01:15:15","H.264","25.000","638x540","Green","","",""
"M2","","","","","18.0","00:00:39:14","","","","","","","","","","","","","","",""
"101","","","V1","C","","00:01:07:06","00:01:09:00","01:01:36:07","01:01:38:01","Voyage inaugural du Normandie DIAZ 1935","","00:00:00:00","00:05:07:11","00:05:07:11","H.264","25.000","960x720","","","",""
"102","","","V1","C","","00:01:05:12","00:01:06:17","01:01:38:01","01:01:39:06","Gaumont Pathé Archives - 3523GJ 00001 - LE HAVRE. LE GIGANTESQUE PAQUEBOT NORMANDIE A EFFECTUE SA 1ERE TRAVERSEE TRANSATLANTIQUE","","00:00:00:00","00:02:03:14","00:02:03:14","H.264","25.000","640x480","Green","","",""
"103","","","A5","C","","00:00:08:24","00:00:09:23","01:01:38:04","01:01:39:02","18-46 Flash Pot Small Powder Flash","","00:00:00:00","00:00:16:04","00:00:16:04","","25.000","","","","",""
"104","","","A6","C","","00:00:00:00","00:00:00:21","01:01:38:07","01:01:39:03","Camera 2","","00:00:00:00","00:00:00:21","00:00:00:21","","25.000","","","","",""
"105","","","A11","C","","00:00:00:01","00:00:05:06","01:01:38:19","01:01:43:24","Audio Process Stream","","00:00:00:00","00:00:05:06","00:00:05:06","","25.000","","","","",""
"106","","","V1","C","","00:22:39:08","00:22:40:02","01:01:39:06","01:01:40:00","TRA_12-008751_4B_vis_00000000_00340003","","00:00:00:00","00:34:00:03","00:34:00:03","H.264","25.000","640x486","Green","","",""
"107","","","A1","C","","00:18:37:07","00:18:44:22","01:01:39:23","01:01:47:11","VM-315","","00:00:00:00","00:25:39:04","00:25:39:04","H.264","29.970","","Green","","",""
"108","","","V1","C","","00:25:12:02","00:25:13:03","01:01:40:00","01:01:41:01","TRA_12-008751_4B_vis_00000000_00340003","","00:00:00:00","00:34:00:03","00:34:00:03","H.264","25.000","640x486","Green","","",""
"109","","","V1","C","","00:24:35:05","00:24:36:03","01:01:41:01","01:01:41:24","TRA_12-008751_4B_vis_00000000_00340003","","00:00:00:00","00:34:00:03","00:34:00:03","H.264","25.000","640x486","Green","","",""
"110","","","V1","C","","00:00:12:05","00:00:12:22","01:01:41:24","01:01:42:16","TRA_12-008751_4B_vis_00000000_00340003","","00:00:00:00","00:34:00:03","00:34:00:03","H.264","25.000","640x486","Green","","",""
"111","","","V1","C","","00:00:09:12","00:00:10:03","01:01:42:16","01:01:43:09","SHERMAN GRINBERG2","","00:00:00:00","00:16:32:04","00:16:32:04","MPEG4 Video","29.970","1920x1080","Yellow,ResolveColorGreen","","",""
"112","","","V1","C","","00:00:28:24","00:00:29:19","01:01:43:09","01:01:44:04","Gaumont Pathé Archives - TRA 1 - A BORD DE NORMANDIE","","00:00:00:00","00:09:38:08","00:09:38:08","H.264","25.000","640x486","Green","","",""
"113","","","V1","C","","00:00:01:00","00:00:01:19","01:01:44:04","01:01:44:23","Gaumont Pathé Archives - 6021EJ 56046 - RETROSPECTIF, LANCEMENT DE NORMANDIE. NORMANDIE","","00:00:00:00","00:00:35:04","00:00:35:04","H.264","25.000","640x480","Green","","",""
"114","","","V1","C","","10:00:16:02","10:00:16:21","01:01:44:23","01:01:45:17","6 FILE2824-A La Conquete de l Atlantique","","10:00:02:07","10:12:13:06","00:12:10:24","H.264","25.000","1024x576","","","",""
"115","","","V1","C","","00:03:56:00","00:03:57:08","01:01:45:17","01:01:47:00","Gaumont Pathé Archives - TRA 1 - A BORD DE NORMANDIE","","00:00:00:00","00:09:38:08","00:09:38:08","H.264","25.000","640x486","Green","","",""
"116","","","A10","C","","00:00:00:00","00:00:08:23","01:01:46:11","01:01:55:09","VO 200604 (D)-01","","00:00:00:00","00:00:08:23","00:00:08:23","","25.000","","","","",""
"117","","","V1","C","","00:19:20:04","00:19:21:07","01:01:47:00","01:01:48:03","TRA_12-008751_4B_vis_00000000_00340003","","00:00:00:00","00:34:00:03","00:34:00:03","H.264","25.000","640x486","Green","","",""
"118","","","A11","C","","01:01:45:10","01:01:58:13","01:01:47:03","01:02:00:06","FL_capture_2020-07-26_0946_T0020_C00001","","01:01:43:24","01:01:59:13","00:00:15:14","","25.000","","","","",""
"119","","","V1","C","","00:20:19:20","00:20:20:20","01:01:48:03","01:01:49:03","TRA_12-008751_4B_vis_00000000_00340003","","00:00:00:00","00:34:00:03","00:34:00:03","H.264","25.000","640x486","Green","","",""
"120","","","V1","C","","00:19:34:16","00:19:36:00","01:01:49:03","01:01:50:12","TRA_12-008751_4B_vis_00000000_00340003","","00:00:00:00","00:34:00:03","00:34:00:03","H.264","25.000","640x486","Green","","",""
"121","","","V1","C","","00:04:11:16","00:04:13:22","01:01:50:12","01:01:52:19","P-212-60","","00:00:00:00","00:10:19:22","00:10:19:22","H.264","23.976","720x540","Green","","",""
"122","","","V1","C","18","00:04:15:07","00:04:16:00","01:01:52:19","01:01:53:19","P-212-60","","00:00:00:00","00:10:19:22","00:10:19:22","H.264","23.976","720x540","Green","","",""
"M2","","","","","18.0","00:04:15:07","","","","","","","","","","","","","","",""
"123","","","V1","C","","00:18:17:10","00:18:18:11","01:01:53:19","01:01:54:20","TRA_12-008751_4B_vis_00000000_00340003","","00:00:00:00","00:34:00:03","00:34:00:03","H.264","25.000","640x486","Green","","",""
"124","","","V1","C","","00:18:23:12","00:18:24:15","01:01:54:20","01:01:55:23","TRA_12-008751_4B_vis_00000000_00340003","","00:00:00:00","00:34:00:03","00:34:00:03","H.264","25.000","640x486","Green","","",""
"125","","","V1","C","","00:18:41:17","00:18:42:15","01:01:55:23","01:01:56:21","TRA_12-008751_4B_vis_00000000_00340003","","00:00:00:00","00:34:00:03","00:34:00:03","H.264","25.000","640x486","Green","","",""
"126","","","A10","C","","00:00:00:01","00:00:07:15","01:01:56:18","01:02:04:07","Audio Process Stream","","00:00:00:00","00:00:07:15","00:00:07:15","","25.000","","","","",""
"127","","","V1","C","","00:27:24:24","00:27:26:02","01:01:56:21","01:01:57:24","TRA_12-008751_4B_vis_00000000_00340003","","00:00:00:00","00:34:00:03","00:34:00:03","H.264","25.000","640x486","Green","","",""
"128","","","V5","C","","10:28:06:05","10:28:07:05","01:01:57:21","01:01:58:21","PROD521","","10:00:00:00","10:50:21:01","00:50:21:01","H.264","25.000","1024x576","","","",""
"129","","","V1","C","","00:23:18:13","00:23:19:12","01:01:57:24","01:01:58:23","TRA_12-008751_4B_vis_00000000_00340003","","00:00:00:00","00:34:00:03","00:34:00:03","H.264","25.000","640x486","Green","","",""
"130","","","V5","C","","10:29:10:14","10:29:12:02","01:01:58:21","01:02:00:09","PROD521","","10:00:00:00","10:50:21:01","00:50:21:01","H.264","25.000","1024x576","","","",""
"131","","","V1","C","","00:23:02:05","00:23:03:01","01:01:58:23","01:01:59:19","TRA_12-008751_4B_vis_00000000_00340003","","00:00:00:00","00:34:00:03","00:34:00:03","H.264","25.000","640x486","Green","","",""
"132","","","V1","C","","10:20:03:19","10:20:04:24","01:01:59:19","01:02:00:24","PROD521","","10:00:00:00","10:50:21:01","00:50:21:01","H.264","25.000","1024x576","","","",""
"133","","","V5","C","","00:17:27:11","00:17:28:21","01:02:00:09","01:02:01:19","TRA_12-008751_4B_vis_00000000_00340003","","00:00:00:00","00:34:00:03","00:34:00:03","H.264","25.000","640x486","Green","","",""
